id,tweet_text,emoji,singers
826126383214653440,pagin parl ,,[],mannoia
826127292216799232,sent lodov cantant,[],comello
826129078952611840,esce album contien bran gar,[],ferreri
826131384024563714,mission elimin pregiudiz confront riuscir,[],atzei
826139002419945472,copertin doman lup corr edicol https,['__EMOT_POS'],meta
826142909481287681,l'ans elegantissim,[],bernabei
826145813772529664,onor rappresent sogn,['__EMOT_POS'],comello
826152447668318208,iniz vann prov ved l'or doman ved test,[],comello
826154071367233536,raccont prov,['__EMOT_POS'],atzei
826154994298716160,lodo bell,['__EMOT_POS'],comello
826155582101024773,onor rappresent sogn,['__EMOT_POS'],comello
826156992523882496,abbracc febbrai,[],nesli
826156992523882496,abbracc febbrai,[],paba
826158400908169216,tant bell nov sorpreson doman occhi punt,[],raige
826160944921337857,fin parol,[],elodie
826161800072851457,orgogl ved l'or,"['__EMOT_POS', '__EMOT_NEUT']",comello
826164040879763457,bell bac polon,['__EMOT_POS'],comello
826165056207515648,big ospit radioital radioitaliatv interv,['__EMOT_NEUT'],moro
826165548375478272,ved nesl alcun anticip sanrem mett grid,[],nesli
826167053665050625,doman edicol,[],nesli
826167053665050625,doman edicol,[],paba
826167538509869056,sent lodov cantant,[],comello
826167803375972352,mer tantissim,"['__EMOT_POS', '__EMOT_NEUT']",comello
826169971730444290,tant bell nov sorpreson doman occhi punt,[],raige
826172230535094273,sent lodov cantant,[],comello
826172959832285184,tant bell nov sorpreson doman occhi punt,[],raige
826174202986299393,spontan man sant append the new black interv,[],nesli
826174202986299393,spontan man sant append the new black interv,[],paba
826175407988826113,doman corr edicol prend c'e copertin,['__EMOT_POS'],meta
826189387956383744,dorm c'e,['__EMOT_POS'],comello
826193322687467521,sent lodov cantant,[],comello
826198806861639681,interv rad ital solomusicaitalian,[],ron
826201307467890690,donn iniz parl,[],raige
826201307467890690,donn iniz parl,[],luzi
826212590292443137,ragazz sbagl manc ansi,['__EMOT_POS'],bernabei
826216185834385409,vorre sent soluzion,['__EMOT_POS'],ferreri
826300641521844224,prim impression prov sanrem https,[],bernabei
826305654411448320,sent lodov cantant,[],comello
826324658072981504,normal credetem,['__EMOT_POS'],comello
826327062386442240,traffic sguard met que sorris spent strad,['__EMOT_POS'],meta
826330711154163712,normal credetem,['__EMOT_POS'],comello
826332256209862658,ved manten promess ved sanrem,[],gabbani
826337623673286656,"pubblic test toto-sanremo""?quest'ann test prefer ",,['__EMOT_POS'],ron
826340966105759744,"test elod bello,m dip interpret bas buon ",,[],elodie
826343511733702656,test canzon,[],moro
826346774218563584,dubb test arriv cuor delud sogn music,['__EMOT_POS'],d'alessio
826347579151622144,test bran,[],zarrillo
826349985327378432,spaz min parl cant,[],comello
826350658471215105,test bran,[],masini
826354848031465472,donn iniz parl,[],raige
826354848031465472,donn iniz parl,[],luzi
826355383237218305,nonn rend felic,['__EMOT_POS'],bernabei
826356418274066432,aspett tranquill l'attes fin copertin singol sanremes,[],bernabei
826358739104043009,campion,[],meta
826359045397311488,test fiorell mannoi,['__EMOT_POS'],mannoia
826359472616509441,buongiorn ved copertin,['__EMOT_POS'],comello
826359742096359424,buongiorn ved copertin,['__EMOT_POS'],comello
826360063367507968,buongiorn ved copertin,['__EMOT_POS'],comello
826360493161975809,buongiorn ved copertin,['__EMOT_POS'],comello
826360845357686785,buongiorn ved copertin,['__EMOT_POS'],comello
826361252205166592,buongiorn ved copertin,['__EMOT_POS'],comello
826361553129725952,buongiorn ved copertin,['__EMOT_POS'],comello
826361880335757312,car davver orgogl,['__EMOT_POS'],comello
826362278110978048,innamor test,[],comello
826363364632825857,buongiorn ved copertin,['__EMOT_POS'],comello
826363773191585793,buongiorn ved copertin,['__EMOT_POS'],comello
826365020586012673,test top,[],mannoia
826365020586012673,test top,[],meta
826365020586012673,test top,[],chiara
826365881424949248,buongiorn ved copertin,['__EMOT_POS'],comello
826366787960844288,menzion posit aspett struggent,[],d'alessio
826366787960844288,menzion posit aspett struggent,[],moro
826367871496359937,test disag social chiav rap,[],clementino
826368456010366976,buongiorn ved copertin,['__EMOT_POS'],comello
826369208783089664,michel monin instagram tif https://t,[],paba
826369208783089664,michel monin instagram tif https://t,[],nesli
826369451817709569,edicol test colp curios,[],elodie
826369605585207296,l'avre test gig d'aless bellissim sper rend music,[],d'alessio
826369822070099968,edicol test colp curios,[],elodie
826370135262949376,buongiorn bellezz giorn seguitem instagram,['__EMOT_POS'],raige
826370410077908992,edicol test colp curios,[],elodie
826370881316384768,edicol test colp curios,[],elodie
826371319570821121,buongiorn ved copertin,['__EMOT_POS'],comello
826371839920316417,edicol test colp curios,[],elodie
826372212907196417,buongiorn ved copertin,['__EMOT_POS'],comello
826372589794783234,buongiorn ved copertin,['__EMOT_POS'],comello
826373573770092544,edicol test colp curios,[],elodie
826374136742174721,edicol test colp curios,[],elodie
826374615849136128,tratt comun viv,[],bernabei
826375684100587521,edicol test colp curios,[],elodie
826376202692747264,edicol test colp curios,[],elodie
826376505248907264,test l'interpret voc elod poes,['__EMOT_POS'],elodie
826376996213104640,vuo trov cercam nell'imprevist,['__EMOT_POS'],bernabei
826377765645611008,buongiorn ved copertin,['__EMOT_POS'],comello
826380818872406016,test canzon l'interv,[],bravi
826381443098144768,campion,[],meta
826382477845463040,ved lup,[],meta
826382709278773248,buongiorn ved copertin,['__EMOT_POS'],comello
826383337312903168,edicol test colp curios,[],elodie
826384016689549314,test piac,[],nesli
826384016689549314,test piac,[],paba
826384951696293888,buongiorn ved copertin,['__EMOT_POS'],comello
826386314933198848,car davver orgogl,['__EMOT_POS'],comello
826388084711383040,sent lodov cantant,[],comello
826388764264112128,dicess buongiorn,['__EMOT_POS'],comello
826390138670428160,viet mor bran https://t,[],meta
826390675637821440,test top,[],mannoia
826390675637821440,test top,[],meta
826390675637821440,test top,[],chiara
826393967063400450,test applaus aless bernabe sorris,['__EMOT_POS'],bernabei
826394475568181248,cont rovescia,[],comello
826394475568181248,cont rovescia,[],bravi
826395223169368066,attenzion ser primafestival onda part dell'inter torner doman,[],bernabei
826395763437604864,buongiorn ved copertin,['__EMOT_POS'],comello
826397212917784576,buongiorn ved copertin,['__EMOT_POS'],comello
826397572780683264,elod,[],elodie
826398309824753664,edicol test colp curios,[],elodie
826400270678622208,innamor canzon masin scritt zibb,['__EMOT_POS'],masini
826400854399995904,buongiorn ved copertin,['__EMOT_POS'],comello
826401981401034753,elod,[],elodie
826402692058734592,edicol test colp curios,[],elodie
826404020873003008,buongiorn ved copertin,['__EMOT_POS'],comello
826404940708982784,buongiorn ved copertin,['__EMOT_POS'],comello
826405323502153728,buongiorn ved copertin,['__EMOT_POS'],comello
826406338284634112,donn iniz parl,[],raige
826406338284634112,donn iniz parl,[],luzi
826406977328861184,test bran scritt,[],sylvestre
826408270688550917,ador elod mannoi test bell ved l'or sent,[],elodie
826408270688550917,ador elod mannoi test bell ved l'or sent,[],mannoia
826408623932837888,vorre occhi guard,[],d'alessio
826409244345958400,buongiorn ved copertin,['__EMOT_POS'],comello
826411420468314112,buongiorn ved copertin,['__EMOT_POS'],comello
826412164852363264,edicol test colp curios,[],elodie
826412933269901315,buongiorn ved copertin,['__EMOT_POS'],comello
826413235997900800,l'orgogl,[],comello
826413408455106560,l'eurovision song contest test https,[],comello
826413734952366080,buongiorn ved copertin,['__EMOT_POS'],comello
826414377783943170,buongiorn ved copertin,['__EMOT_POS'],comello
826414812385128448,edicol test colp curios,[],elodie
826415384517541890,l'orgogl,[],comello
826415949486108672,buongiorn ved copertin,['__EMOT_POS'],comello
826416379117072385,buongiorn ved copertin,['__EMOT_POS'],comello
826417141813481473,dicess buongiorn,['__EMOT_POS'],comello
826417755108806657,buongiorn ved copertin,['__EMOT_POS'],comello
826418619563331588,buongiorn ved copertin,['__EMOT_POS'],comello
826420559353348097,edicol test colp curios,[],elodie
826420763431432192,normal credetem,['__EMOT_POS'],comello
826421674845339649,ser mett,[],comello
826422089250914304,hey big hearts aspett rad ital http,['__EMOT_POS'],sylvestre
826422720485322753,buongiorn ved copertin,['__EMOT_POS'],comello
826423550856790022,vad pant rei and singing the rain sogn collabor francesc gabban franc batt,[],gabbani
826423801885892609,occhi guard,['__EMOT_POS'],d'alessio
826424478221627392,perfett voc rend davver unic,['__EMOT_POS'],bravi
826425414197399553,buongiorn ved copertin,['__EMOT_POS'],comello
826426872426815488,buongiorn ved copertin,['__EMOT_POS'],comello
826427090216091648,lodov comell co-condurr festival vinc,[],comello
826427834499362817,buongiorn ved copertin,['__EMOT_POS'],comello
826428227514163200,lodov comell co-condurr festival vinc,[],comello
826429142816157696,aless bernabe test sanremes,[],bernabei
826429316699418624,buongiorn ved copertin,['__EMOT_POS'],comello
826430817991802880,l'orgogl,[],comello
826431174314704898,edicol test colp curios,[],elodie
826433926390493185,uscir album gar bran omonim,[],masini
826435136824696832,l'orgogl,[],comello
826435498692460545,buongiorn ved copertin,['__EMOT_POS'],comello
826437168751063040,buongiorn ved copertin,['__EMOT_POS'],comello
826438313083039744,rom mil magg liv present bran album,[],comello
826438632722530305,buongiorn ved copertin,['__EMOT_POS'],comello
826440311748624384,rom mil magg liv present bran album,[],comello
826442008969543680,legg https,[],moro
826446499089350656,l'orgogl,[],comello
826454352709697536,rom mil magg liv present bran album,[],comello
826454425720016897,rom mil magg liv present bran album,[],comello
826454513338941440,test viagg ment immagin voc,['__EMOT_POS'],ferreri
826454637305806848,rom mil magg liv present bran album,[],comello
826454926352117761,rom mil magg liv present bran album,[],comello
