id,tweet_text,emoji
826126383214653440,pagin parl ,[]
826127813124247552,bell song ball tranquill ,[]
826131384024563714,mission elimin pregiudiz confront riuscir ,[]
826138111273029633,puo invit ospit interazional alessandr parl ,[]
826140767718666241,sanrem scopert prov ,[]
826144083970256896,guard classif ,[]
826145184127791104,vogl festival ,['__EMOT_POS']
826145500420308992,vogl festival ,[]
826145973801992193,vogl festival ,[]
826146413448945669,vogl festival ,[]
826146655066009601,vogl festival ,[]
826146865456488450,vogl festival ,[]
826146987682701314,vogl festival ,[]
826147476633706501,vogl festival ,[]
826150433756430337,vogl festival ,[]
826151258964758534,vogl festival ,['__EMOT_POS']
826151656035328000,vogl festival ,['__EMOT_POS']
826152447668318208,iniz vann prov ved l'or doman ved test ,[]
826152979581526016,vogl festival ,['__EMOT_POS']
826154994298716160,lodo bell ,['__EMOT_POS']
826158789267226624,prem c'e final pass vodafon ,[]
826161800072851457,orgogl ved l'or ,"['__EMOT_POS', '__EMOT_NEUT']"
826164040879763457,bell bac polon ,['__EMOT_POS']
826166583433256966,"catastrofi,s'aggiung festival ",[]
826168731575402498,doman edicol test ,[]
826173735929597952,ospit tiz ferr preved piant ,['__EMOT_NEG']
826183091676917760,vorre sent soluzion ,[]
826184171806670848,twitter fil ,[]
826191088700551169,vabb vol gir ,['__EMOT_POS']
826195733263040512,ricord ragazz cant ,[]
826201307467890690,donn iniz parl ,[]
826203648791367680,prospett sbellic ris ,[]
826207953233596416,guarder tiz ,[]
826216185834385409,vorre sent soluzion ,['__EMOT_POS']
826324658072981504,normal credetem ,['__EMOT_POS']
826326254278303746,vid,[]
826327062386442240,traffic sguard met que sorris spent strad ,['__EMOT_POS']
826335342399803392,sed piscoanalis plss ,[]
826337623673286656,"pubblic test toto-sanremo""?quest'ann test prefer ",['__EMOT_POS']
826343511733702656,test canzon ,[]
826344745119121409,lett test ,['__EMOT_POS']
826346774218563584,dubb test arriv cuor delud sogn music ,['__EMOT_POS']
826347579151622144,test bran ,[]
826348314929012736,test canzon big ,[]
826348778370248705,lett test test amo cont amor delud ,[]
826349483164327936,manc ,[]
826350658471215105,test bran ,[]
826351494526038016,vol vogl vogl amic ,[]
826355383237218305,nonn rend felic ,['__EMOT_POS']
826356418274066432,aspett tranquill l'attes fin copertin singol sanremes ,[]
826357181213728768,,[]
826358077595189248,guard amo serg endrig interpret aspett ,['__EMOT_POS']
826358739104043009,campion ,[]
826359045397311488,test fiorell mannoi ,['__EMOT_POS']
826359348876148737,buongiorn ved copertin ,['__EMOT_POS']
826359580682809345,test ,[]
826362278110978048,innamor test ,[]
826365020586012673,test top ,[]
826366065173229568,cap disag cittadin c'entr ,[]
826366787960844288,menzion posit aspett struggent ,[]
826369605585207296,l'avre test gig d'aless bellissim sper rend music ,[]
826374615849136128,tratt comun viv ,[]
826375155769282561,inutil guarir malatt tren ciuf ciuf mind ,[]
826376505248907264,test l'interpret voc elod poes ,['__EMOT_POS']
826376996213104640,vuo trov cercam nell'imprevist ,['__EMOT_POS']
826380520359608320,vol dar sbirciatin trov ,[]
826380818872406016,test canzon l'interv ,[]
826384016689549314,test piac ,[]
826395223169368066,attenzion ser primafestival onda part dell'inter torner doman ,[]
826399817844846592,test ros spin ,[]
826408270688550917,ador elod mannoi test bell ved l'or sent ,[]
826408623932837888,vorre occhi guard ,[]
826415032409931777,pubblic sanrem ,['__EMOT_POS']
826419093255385088,gioi immagin melod ,['__EMOT_POS']
826419416590065664,seb garanz alle perfett ,[]
826423550856790022,vad pant rei and singing the rain sogn collabor francesc gabban franc batt ,[]
826424259547369473,,[]
826424478221627392,perfett voc rend davver unic ,['__EMOT_POS']
826427090216091648,lodov comell co-condurr festival vinc ,[]
826429142816157696,aless bernabe test sanremes ,[]
826429688981622784,pubblic qual miglior test ,[]
826429910440898560,aspett canzon viagg ascolt ,[]
826431477852340225,emorroid ,[]
826441394600423424,test bell francesc gabban mett mannoi ex-aequ turci/mor ,[]
826445507333586944,rom poss preordin ,[]
826449367011835904,"incoerent testard cad aspetta,s dovr impar ten strett ",[]
826457570659487753,canzon elod michel ermal met ,[]
826458809103167491,rua soddisf ,"['__EMOT_POS', '__EMOT_NEUT']"
826459932220354561,anfatt angi ,['__EMOT_POS']
826463237940064256,vogl festival afdsykjghnok ,[]
826463805915934720,"camb stelle,s prov riusc ",['__EMOT_POS']
826464318480867329,festival sanrem cantant gar brav parol michel brav ,[]
826469040164057089,cap felic vien dat prest ,[]
826471024023715840,staser settiman prossim mar ,[]
826473300956176387,legg test bran porter ,['__EMOT_POS']
826475052434599937,ciaon ,[]
826475938162544641,doman iniz febbrai mes romant dell'ann ,[]
826477457368870913,sab febbrai vad lodov ciaon ,[]
826478946296463361,sment qualsias voc ved conduzion target ,[]
